ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง
1,กรุงเทพ,"กรุงเทพ เป็นการแสดงที่ได้แนวคิดมาจากชื่อเต็มเมืองหลวง
ของประเทศไทยคือ กรุงเทพมหานคร ที่ได้รับการบันทึกจากกินเนสส์บุ๊ค
(Guinness Book) ว่า เป็นชื่อเมืองที่มีความยาวที่สุดในโลก 
ความหมายโดยรวม หมายถึง เมืองอันยิงใหญ่ที่ถูกสรรค์สร้างโดยเหล่าเทพ 
กระบวนท่ารําสื่อถึงการร่ายรําของเหล่าเทวดานางฟ้า นอกจากนี้ยังผสมผสาน 
การเชิดหนังใหญ่ที่ออกแบบวาดภาพสถานที่สําคัญของกรุงเทพฯ ประกอบการแสดง"
2,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ"
3,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง"
4,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายน้ำ
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายน้ำเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายน้ำแห่งวัฒนธรรม สายน้ำแห่งความงดงามของชาติ "
5,ชาติพันธุ์สราญ,"ชาติพันธุ์สราญ เป็นการแสดงที่สร้างสรรค์ขึ้นจากความสําคัญ
ของกลุ่มชาติพันธุ์ในจังหวัดนครปฐมทังหมด 5 กลุ่มชาติพันธุ์ ประกอบด้วย 
1) ชาติพันธุ์ลาวครั่ง 2) ชาติพันธุ์ไทยทรงดำ 3) ชาติพันธุ์ลาวเวียง 
4) ชาติพันธุ์ไทยรามัญ 5) ชาติพันธุ์ไทยจีน สู่การสร้างสรรค์นวัตกรรม
ศิลปะการแสดง โดยการแสดงสื่อถึง ความหลากหลายของกลุ่มชาติพันธุ์
วัฒนธรรม ประเพณีและวิถีชวิตที่หลากหลายของกลุ่มชาติพันธุ์ 
ในจังหวัดนครปฐม ตลอดจนความสุข สนุกสนานรื่นเริง
ในการหลอมรวมเป็นอันหนึ่งอันเดียวภายใต้ร่มพระบารมี"
6,ชาวดอย,"ชาวดอย เป็นการแสดงที่มีแนวคิดมาจากการดํารงชวิตของกลุ่มชน 
ที่อาศัยอยู่ทางภาคเหนือของประเทศไทย มุ่งเน้นวิถีชวิตที่มีความเรียบง่าย 
ผูกพันพึ่งพาธรรมชาติ ประกอบอาชีพเกษตรกรรม รวมทั้งมีการละเล่น 
ที่สนุกสนานตามแบบพื้นบ้านสืบทอดจากรุ่นสู่รุ่น"
7,ตะกล้อล้อท่า,"ตะกร้อล้อท่า เป็นการแสดงที่ได้แนวคิดมาจากกีฬาตะกร้อ
ซึ่งเป็นการละเล่นของไทยแต่โบราณ โดยเริ่มต้นจากการเล่นกันในหมู่ชาวบ้าน 
สู่การเล่นเป็นกีฬาสากล ระดับชาติและนานาชาติ ลีลาและกระบวนท่ารํา
สื่อให้เห็นถึงแม่ท่าในกีฬาตะกร้อ ประกอบด้วย การใช้ศีรษะ ศอก เข่า เท้า ในการบังคับลูกตะกร้อไม่ให้ตกพื้น การกระโดดตีลังกาผสมผสานลีลาท่าทางนาฏศิลป์ไทย"
8,นบนที,"นบนที เป็นการแสดงที่กล่าวถึงประเพณีลอยกระทงซึ่งถือเป็นการแสดง
ความเคารพและขอขมาอภัยต่อพระแม่คงคา อีกทั้งสิ่งศักดิ์สิทธิ์
ในสายน้ำที่สร้างคุณประโยชน์ต่อมนุษย์ทุกชวิต ซึ่งคนไทยได้ให้ความสําคัญ 
และสํานึกในพระคุณของธรรมชาติที่สะท้อนผ่านความเชื่อและความศรัทธาจนกลายเป็นประเพณีลอยกระทง"
9,นักษัตร,"นักษัตร เป็นการแสดงที่ได้แนวความคิดมาจากเทพ 12 ปีนักษัตรของไทย
ที่มีความเชื่อว่าเป็นเทพที่มีหน้าที่ปกป้องคุ้มครองมนุษย์ กระบวนท่ารํา
มีความงดงามตามรูปแบบนาฏศิลป์ไทย ผสมผสานการเคลื่อนไหวร่างกาย
และการเคลื่อนที่บนเวทีอย่างหลากหลาย "
10,นาฏ ณ วัง,"นาฏ ณ วัง เป็นการแสดงที่ได้แนวคิดมาจากความสําคัญของพระราชวังบวรสถานมงคล (วังหน้า) ที่ปรากฎนาฏกรรมหลากหลายประเภท ประกอบด้วย
โขน ละคร หนังใหญ่ หุ่น งิ้ว แอ่วแคน สู่การสร้างสรรค์งานนาฏศิลป์ไทย
ผสมผสานการออกแบบการเคลื่อนไหวร่างกายและการใช้พื้นที่เวทีที่มีความหลากหลาย 
ถ่ายทอดความงามแบบราชสํานักที่มีความวิจิตร ย้อนรําลึกคุณูปการของบุคคล
และสถานที่ที่มีต่อการอนุรักษ์ สู่ความภาคภูมิใจในมรดกวัฒนธรรมของแผ่นดิน"
11,นาฏยมวยไทย,"นาฏยมวยไทย เป็นการแสดงที่ได้แนวคิดมากจากศิลปะป้องกันตัว
มวยโบราณของไทยที่มีมาแต่อดีต มาสร้างสรรค์ในรูปแบบของการแสดง
ที่สื่อถึงลีลาท่ามวย อันเป็นภูมิปัญญาของบรรพบุรุษ ใช้หลักท่าเต้นของโขน 
และท่ารําแบบนาฏศิลป์ผสมผสานกันอย่างลงตัว"
12,ผืนไท,"ผืนไท เป็นการแสดงที่มีแนวคิดมาจากศิลปะการแสดงของภูมิภาคต่าง ๆ ของไทย
สู่การสร้างสรรค์ผลงานบนพื้นฐานความงดงามของนาฏศิลป์ไทย
และศิลปะการแสดงพื้นบ้าน ผสมผสานการออกแบบการเคลื่อนไหวร่างกาย
และการใช้พื้นที่เวทีที่มีความหลากหลาย อุปกรณ์สําคัญในการแสดงคือ 
ผืนผ้าสื่อถึงสัญลักษณ์ของชาติ และพระมหากษัตริย์ไทย ปกแผ่ไพศาล
ให้ความสุขสงบร่มเย็นแก่อาณาประชาราษฎร์ทุกเชอชาติที่รวมกัน 
เป็นเอกลักษณ์ ก่อให้เกิดมรดกศิลปวัฒนธรรมอันวิจิตร
ภายใต้ผืนไตรรงค์ธงไทยที่สง่างาม"
